id_rollo,fecha,codigo_tela,tipo,color,kg_rollo,observacion
164,2026-05-11 20:49:45.901679,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23,
165,2026-05-11 20:49:45.901873,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.2,
166,2026-05-11 20:53:50.036572,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),22.4,
167,2026-05-11 20:55:12.26615,1,MORLEY SOFT,TOPO MELANGE,23,
168,2026-05-11 20:55:12.266446,1,MORLEY SOFT,TOPO MELANGE,23.2,
169,2026-05-11 20:55:12.266643,1,MORLEY SOFT,TOPO MELANGE,23.1,
170,2026-05-11 20:55:12.266818,1,MORLEY SOFT,TOPO MELANGE,23.1,
171,2026-05-11 20:55:12.266992,1,MORLEY SOFT,TOPO MELANGE,23.1,
172,2026-05-11 20:55:12.267159,1,MORLEY SOFT,TOPO MELANGE,23,
173,2026-05-11 20:55:52.283902,1,MORLEY SOFT,UVA,22.5,
174,2026-05-11 20:55:52.284196,1,MORLEY SOFT,UVA,23,
175,2026-05-11 20:55:52.284403,1,MORLEY SOFT,UVA,23.1,
176,2026-05-11 20:55:52.284586,1,MORLEY SOFT,UVA,23.1,
177,2026-05-11 20:55:52.28477,1,MORLEY SOFT,UVA,23.2,
178,2026-05-11 20:55:52.284946,1,MORLEY SOFT,UVA,23.3,
179,2026-05-11 20:55:52.285122,1,MORLEY SOFT,UVA,23.4,
180,2026-05-11 20:55:52.285312,1,MORLEY SOFT,UVA,23.3,
181,2026-05-11 20:55:52.285487,1,MORLEY SOFT,UVA,23,
182,2026-05-11 20:56:24.365721,1,MORLEY SOFT,VISON,23,
183,2026-05-11 20:56:24.365992,1,MORLEY SOFT,VISON,23.2,
184,2026-05-11 20:56:24.366188,1,MORLEY SOFT,VISON,22.9,
185,2026-05-11 20:56:24.366374,1,MORLEY SOFT,VISON,23.5,
186,2026-05-11 20:56:24.366555,1,MORLEY SOFT,VISON,23.5,
193,2026-05-13 14:54:58.727258,1,MORLEY SOFT,BEIGE,22.4,
194,2026-05-13 14:54:58.727582,1,MORLEY SOFT,BEIGE,22.4,
195,2026-05-13 14:54:58.727911,1,MORLEY SOFT,BEIGE,23.2,
196,2026-05-13 14:54:58.728151,1,MORLEY SOFT,BEIGE,22.8,
197,2026-05-13 14:54:58.72836,1,MORLEY SOFT,BEIGE,23.2,
198,2026-05-13 14:54:58.728597,1,MORLEY SOFT,BEIGE,22.7,
199,2026-05-13 14:54:58.728862,1,MORLEY SOFT,BEIGE,23.3,
200,2026-05-13 14:54:58.729144,1,MORLEY SOFT,BEIGE,22.6,
201,2026-05-13 14:54:58.729377,1,MORLEY SOFT,BEIGE,22.9,
202,2026-05-13 14:54:58.729582,1,MORLEY SOFT,BEIGE,23.2,
222,2026-05-13 15:00:07.151438,1,MORLEY SOFT,CHOCO,23.6,
223,2026-05-13 15:00:07.151747,1,MORLEY SOFT,CHOCO,23.5,
224,2026-05-13 15:06:13.727104,1,MORLEY SOFT,GRIS MELANGE,23.1,
225,2026-05-13 15:06:13.727417,1,MORLEY SOFT,GRIS MELANGE,23,
226,2026-05-13 15:06:13.727645,1,MORLEY SOFT,GRIS MELANGE,22.5,
227,2026-05-13 15:06:13.727842,1,MORLEY SOFT,GRIS MELANGE,22.8,
228,2026-05-13 15:06:13.728033,1,MORLEY SOFT,GRIS MELANGE,23.7,
229,2026-05-13 15:06:13.728223,1,MORLEY SOFT,GRIS MELANGE,21.4,
230,2026-05-13 15:06:13.728413,1,MORLEY SOFT,GRIS MELANGE,22.8,
231,2026-05-13 15:06:13.728713,1,MORLEY SOFT,GRIS MELANGE,22.9,
232,2026-05-13 15:06:13.728906,1,MORLEY SOFT,GRIS MELANGE,22,
233,2026-05-13 15:06:13.729121,1,MORLEY SOFT,GRIS MELANGE,23.7,
234,2026-05-13 15:06:13.729466,1,MORLEY SOFT,GRIS MELANGE,22.3,
235,2026-05-13 15:06:13.729929,1,MORLEY SOFT,GRIS MELANGE,22.7,
236,2026-05-13 15:06:13.7303,1,MORLEY SOFT,GRIS MELANGE,22.8,
237,2026-05-13 15:06:13.730646,1,MORLEY SOFT,GRIS MELANGE,22.9,
238,2026-05-13 15:06:13.730896,1,MORLEY SOFT,GRIS MELANGE,23.9,
239,2026-05-13 15:06:13.731099,1,MORLEY SOFT,GRIS MELANGE,22.5,
240,2026-05-13 15:06:13.731286,1,MORLEY SOFT,GRIS MELANGE,17.3,
